q_id,doc_id,question,answer,doc_path,documents,image_file,caption,first_mention,title,abstract
scgqa_75,2010.13691v1,"In the study's context, how does the train-net's k-shell index indicate patterns of account influence shown in Figure 3?","The graph suggests that the structure of the train-net network is more conducive to the emergence of influential accounts. This is because the densely connected core of the train-net network provides a platform for the spread of information and influence. In contrast, the more homogeneous structure of the tagging-net network makes it more difficult for information and influence to spread.",2010.13691v1.pdf,"['2010.13691v1.pdf', '1908.04655v1.pdf', '1603.01793v2.pdf', '1202.4232v2.pdf', '2006.03632v1.pdf', '1804.06674v1.pdf']",2010.13691v1-Figure3-1.png,Figure 3: Complementary cumulative distribution of the 𝑘- shell indexes for accounts in the train-net network and tagging-net baseline. The categorization of conductors and riders in train-net reflects the account statuses during the data collection period. Mann-Whitney U tests show that the distributions are significantly different (𝑝 < 0.01) with large effect sizes.,"Comparing the two mention networks in Figure 2, we find that each community in the train-net network has a densely connected core and many peripheral nodes, while the tagging-net network displays a more homogeneous structure. To confirm our observation, we calculate the 𝑘-shell index [26], which measures node centrality and influence, of the nodes in both networks and plot the distributions in Figure 3. For the tagging-net baseline","The Manufacture of Partisan Echo Chambers by Follow Train Abuse on
  Twitter","A growing body of evidence points to critical vulnerabilities of social
media, such as the emergence of partisan echo chambers and the viral spread of
misinformation. We show that these vulnerabilities are amplified by abusive
behaviors associated with so-called ""follow trains"" on Twitter, in which long
lists of like-minded accounts are mentioned for others to follow. We present
the first systematic analysis of a large U.S. hyper-partisan train network. We
observe an artificial inflation of influence: accounts heavily promoted by
follow trains profit from a median six-fold increase in daily follower growth.
This catalyzes the formation of highly clustered echo chambers, hierarchically
organized around a dense core of active accounts. Train accounts also engage in
other behaviors that violate platform policies: we find evidence of activity by
inauthentic automated accounts and abnormal content deletion, as well as
amplification of toxic content from low-credibility and conspiratorial sources.
Some train accounts have been active for years, suggesting that platforms need
to pay greater attention to this kind of abuse."
scgqa_76,1610.04213v4,"In the context of damaged robot simulations, what insights does Figure 11 provide about RTE versus GP-TEXPLORE?","The graph shows that RTE outperforms GP-TEXPLORE and the re-planning baseline. The robot with RTE reaches the target in about 10 episodes, whereas with MCTS it needs more than 20 episodes and with GP-TEXPLORE is not able to reach the target even after 100 episodes. This indicates that RTE is a more effective algorithm for planning in damaged environments.",1610.04213v4.pdf,"['1610.04213v4.pdf', '2004.05448v1.pdf', '2011.08042v1.pdf', '1908.05243v1.pdf', '1804.04818v1.pdf']",1610.04213v4-Figure11-1.png,"Figure 11: Comparison between RTE, GP-TEXPLORE and MCTSbased planning — Hexapod robot simulation results. We measure the distance to the 5th target of RTE and GP-TEXPLORE as the number of episodes increases for the damage in Fig. 10C, environment #1 (Fig. 10D) and the second repertoire. RTE clearly outperforms GP-TEXPLORE and the re-planning baseline; the robot with RTE reaches the target in about 10 episodes, whereas with MCTS it needs more than 20 episodes and with GP-TEXPLORE is not able to reach the target even after 100 episodes. The lines represent medians over 50 runs and the shaded regions the 25th and 75th percentiles.","The results show that as the number of episodes increases, the robot that uses GP-TEXPLORE gets closer to the target, but cannot reach it when provided with a budget of 100 episodes (Fig. 11). On the contrary, the robot with RTE reaches the target in a small number of episodes (around 10 episodes in Fig. 11). Moreover, the robot that uses MCTS (the re-planning baseline) is",Reset-free Trial-and-Error Learning for Robot Damage Recovery,"The high probability of hardware failures prevents many advanced robots
(e.g., legged robots) from being confidently deployed in real-world situations
(e.g., post-disaster rescue). Instead of attempting to diagnose the failures,
robots could adapt by trial-and-error in order to be able to complete their
tasks. In this situation, damage recovery can be seen as a Reinforcement
Learning (RL) problem. However, the best RL algorithms for robotics require the
robot and the environment to be reset to an initial state after each episode,
that is, the robot is not learning autonomously. In addition, most of the RL
methods for robotics do not scale well with complex robots (e.g., walking
robots) and either cannot be used at all or take too long to converge to a
solution (e.g., hours of learning). In this paper, we introduce a novel
learning algorithm called ""Reset-free Trial-and-Error"" (RTE) that (1) breaks
the complexity by pre-generating hundreds of possible behaviors with a dynamics
simulator of the intact robot, and (2) allows complex robots to quickly recover
from damage while completing their tasks and taking the environment into
account. We evaluate our algorithm on a simulated wheeled robot, a simulated
six-legged robot, and a real six-legged walking robot that are damaged in
several ways (e.g., a missing leg, a shortened leg, faulty motor, etc.) and
whose objective is to reach a sequence of targets in an arena. Our experiments
show that the robots can recover most of their locomotion abilities in an
environment with obstacles, and without any human intervention."
scgqa_77,1809.08207v1,How does the number of sensors influence energy reduction percentage in the results presented in Figure 3?,"The graph shows that the percentage decrease in energy consumed increases as the number of sensors increases. This is because the equilibrium solution is more efficient when there are more sensors, as the sensors can share information with each other and coordinate their actions more effectively.",1809.08207v1.pdf,"['1809.08207v1.pdf', '1607.06988v1.pdf', '1902.06156v1.pdf']",1809.08207v1-Figure3-1.png,Figure 3: Percentage decrease of energy consumed versus the probability that a sensor is compromised for different numbers of sensors.,Fig. 3 shows the percentage decrease of energy consumed using the equilibrium solution compared to the baseline versus the probability that a sensor,"A Graphical Bayesian Game for Secure Sensor Activation in Internet of
  Battlefield Things","In this paper, the problem of secure sensor activation is studied for an
Internet of Battlefield Things (IoBT) system in which an attacker compromises a
set of the IoBT sensors for the purpose of eavesdropping and acquiring
information about the battlefield. In the considered model, each IoBT sensor
seeks to decide whether to transmit or not based on its utility. The utility of
each sensor is expressed in terms of the redundancy of the data transmitted,
the secrecy capacity and the energy consumed. Due to the limited communication
range of the IoBT sensors and their uncertainty about the location of the
eavesdroppers, the problem is formulated as a graphical Bayesian game in which
the IoBT sensors are the players. Then, the utilities of the IoBT sensors are
modified to take into account the effect of activating each sensor on the
utilities of its neighbors, in order to achieve better system performance. The
modified game is shown to be a Bayesian potential game, and a best response
algorithm that is guaranteed to find a Nash equilibrium of the game is
proposed. Simulation results show the tradeoff between the information
transmitted by the IoBT sensors and the desired secrecy level. Simulation
results also demonstrate the effectiveness of the proposed approach in reducing
the energy consumed compared to the baseline in which all the IoBT sensors are
activated. The reduction in energy consumption reaches up to 98% compared to
the baseline, when the number of sensors is 5000."
scgqa_78,1403.5617v1,What does Figure 1 illustrate regarding the number of strong ties as the overall graph size increases in this research?,"The graph shows that the number of users having at least 25 strong ties in G? increases as the size of the graph increases. This is because as the graph becomes larger, there are more opportunities for users to form strong ties with each other. However, the graph also shows that this number eventually reaches a plateau, after which it begins to decrease. This is because as the graph becomes even larger, it becomes more difficult for users to maintain strong ties with all of their friends.",1403.5617v1.pdf,"['1403.5617v1.pdf', '1905.11471v1.pdf', '2002.06199v1.pdf', '1805.00184v1.pdf', '1403.5801v2.pdf', '1707.02327v1.pdf']",1403.5617v1-Figure1-1.png,"Figure 1: Number of users having at least 25 friends in the strong friendship graph vs. the size of the graph, for ǫ = 0.01.","We run our experiments with three different values of ǫ, the threshold for the strong friendship between a pair of users. In each of the cases, we start with a complete graph with m0 = m vertices, where m is the the number of nodes every new node is connected to. In Figures 1, 2 and 3, we plot the number of the users having at least 25 (25 and 10, respectively) strong friends in Gst against the size of the graph Gst for a given m and ǫ. In each of these plots, we observe that this number increases till a point before starting to decrease.",On the Rise and Fall of Online Social Networks,"The rise and fall of online social networks recently generated an enormous
amount of interest among people, both inside and outside of academia. Gillette
[Businessweek magazine, 2011] did a detailed analysis of MySpace, which started
losing its popularity since 2008. Cannarella and Spechler [ArXiv, 2014] used a
model of disease spread to explain the rise and fall of MySpace. In this paper,
we present a graph theoretical model that may be able to provide an alternative
explanation for the rise and fall of online social networks. Our model is
motivated by the well-known Barabasi-Albert model of generating random
scale-free networks using preferential attachment or `rich-gets-richer'
phenomenon. As shown by our empirical analysis, we conjecture that such an
online social network growth model is inherently flawed as it fails to maintain
the stability of such networks while ensuring their growth. In the process, we
also conjecture that our model of preferential attachment also exhibits
scale-free phenomenon."
scgqa_79,1402.0635v3,What does Figure 14 indicate about the advantages of RLSVI in rapid learning within the mini-tetris environment?,The results presented in Figure 14 suggest that RLSVI is a promising reinforcement learning algorithm. It is able to learn faster and reach a higher convergent policy than LSVI with dithering. This suggests that RLSVI may be a good choice for applications where it is important to learn quickly and to avoid getting stuck in local minima.,1402.0635v3.pdf,"['1402.0635v3.pdf', '1908.05243v1.pdf', '1108.4475v4.pdf', '2007.15958v1.pdf', '1908.04647v1.pdf', '1812.09355v1.pdf']",1402.0635v3-Figure14-1.png,Figure 14. Reduced 4-row tetris with only S and Z pieces.,"In Figure 14 we present the results for this mini-tetris environment. As expected, this example highlights the benefits of RLSVI over LSVI with dithering. RLSVI greatly outperforms LSVI even with a tuned schedule. RLSVI learns faster and reaches a higher convergent policy.",Generalization and Exploration via Randomized Value Functions,"We propose randomized least-squares value iteration (RLSVI) -- a new
reinforcement learning algorithm designed to explore and generalize efficiently
via linearly parameterized value functions. We explain why versions of
least-squares value iteration that use Boltzmann or epsilon-greedy exploration
can be highly inefficient, and we present computational results that
demonstrate dramatic efficiency gains enjoyed by RLSVI. Further, we establish
an upper bound on the expected regret of RLSVI that demonstrates
near-optimality in a tabula rasa learning context. More broadly, our results
suggest that randomized value functions offer a promising approach to tackling
a critical challenge in reinforcement learning: synthesizing efficient
exploration and effective generalization."
scgqa_80,2008.11326v4,How does the roofline model assist in understanding performance issues in the Si-214 experiments detailed in the paper?,"The hierarchical roofline analysis is a performance analysis tool that helps to identify the bottlenecks in a program. It is based on the roofline model, which is a theoretical model that describes the maximum performance of a program as a function of its arithmetic intensity and memory bandwidth. The hierarchical roofline analysis extends the roofline model by taking into account the different levels of memory hierarchy in a computer system. This allows for a more detailed analysis of the performance bottlenecks in a program.

In the graph, the x-axis shows the arithmetic intensity of the program, which is measured in FLOPS/Byte. The y-axis shows the performance of the program, which is measured in GFLOP/sec. The different lines in the graph represent the different levels of memory hierarchy in the system. The blue line represents the L1 cache, the green line represents the L2 cache, and the red line represents the HBM.

The graph shows that the performance of v3, v4 and v5 is limited by the L2 cache. This means that the programs are not able to access the data in the L2 cache as quickly as they need to. This could be due to a number of factors, such as the size of the L2 cache, the number of threads accessing the cache, or the latency of the cache.

The hierarchical roofline analysis can be used to identify the bottlenecks in a program and to make improvements to the performance. For example, the results of this analysis could be used to increase the size of the L2 cache, or to reduce the number of threads accessing the cache.",2008.11326v4.pdf,"['2008.11326v4.pdf', '1808.09050v2.pdf', '1709.08441v4.pdf', '1710.10733v4.pdf', '1511.07907v2.pdf', '2004.03870v1.pdf']",2008.11326v4-Figure5-1.png,"Fig. 5. Hierarchical Roofline analysis of v3, v4 and v5 for Si-214","Some computational characteristics of the GPP kernel are, 1) there is abundant parallelism, enough to saturate the GPU for efficient utilization, 2) most arrays in this kernel are in double precision, either floats or complex numbers, 3) dimensions of the arrays encompass almost all combinations of indices band, igp and ig, possibly posing a challenge in ensuring memory coalescence between threads in a warp, and the effectiveness of cache blocking, 4) among many multiplications, additions, and fused-multiplication and additions (FMAs), there are a few divides and abs() instructions, which present a longer latency and could potentially hurt the performance, 5) the reduction runs across all three loops band, igp, and ig, and accumulates results to the iw-th element of arrays achtemp and asxtemp. At the time of writing, OpenACC does not support array reductions, so some alternative needs to be sought. Luckily the loop count nw is very small and fixed so scalar reductions can be used for each iw explicitly. In PGI’s implementation of OpenACC, scalar reductions are usually done in a separate kernel after the main computational kernel, with much shorter computation and much fewer threads. There will be two kernels appearing in the Nsight Compute profile, however, we will only focus on the compute kernel for the bulk of this performance study. The runtime and throughput calculation, though, (Tab. I, and Fig. 1, Fig. 3, Fig. 5 and Fig. 6), will still be for the entire calculation, as indicated by the timers in the pseudo code above.","8 Steps to 3.7 TFLOP/s on NVIDIA V100 GPU: Roofline Analysis and Other
  Tricks","Performance optimization can be a daunting task especially as the hardware
architecture becomes more and more complex. This paper takes a kernel from the
Materials Science code BerkeleyGW, and demonstrates a few performance analysis
and optimization techniques. Despite challenges such as high register usage,
low occupancy, complex data access patterns, and the existence of several
long-latency instructions, we have achieved 3.7 TFLOP/s of double-precision
performance on an NVIDIA V100 GPU, with 8 optimization steps. This is 55% of
the theoretical peak, 6.7 TFLOP/s, at nominal frequency 1312 MHz, and 70% of
the more customized peak based on our 58% FMA ratio, 5.3 TFLOP/s. An array of
techniques used to analyze this OpenACC kernel and optimize its performance are
shown, including the use of hierarchical Roofline performance model and the
performance tool Nsight Compute. This kernel exhibits computational
characteristics that are commonly seen in many high-performance computing (HPC)
applications, and are expected to be very helpful to a general audience of HPC
developers and computational scientists, as they pursue more performance on
NVIDIA GPUs."
scgqa_81,1208.4662v2,"In the context of Figure 6, what trends are observed in the MSE with the spectral clustering method for FLIM images?","The graph shows that the spectral clustering method does not consistently decrease the mean-square error (MSE) in estimating average fluorescence lifetimes of the correct segments with increasing resolution. This is evident in the case of the FLIM image shown in Figure 1A, where the MSE does not decrease with increasing resolution. For the FLIM image shown in Figure 1B, the MSE decreases with increasing resolution by decreasing α up to 0.0625, but it increases again when α is decreased below this value. This is likely due to the fact that decreasing α below 0.0625 introduces noisy segments in the output, which increases the MSE.",1208.4662v2.pdf,"['1208.4662v2.pdf', '1901.10423v1.pdf', '2007.15404v1.pdf', '1905.12729v2.pdf', '1603.01185v2.pdf', '1603.04153v1.pdf', '1607.05970v2.pdf', '1307.3687v1.pdf', '2004.05448v1.pdf']",1208.4662v2-Figure6-1.png,"Figure 6: (A-B) The mean-square error (MSE) in estimating average fluorescence lifetimes of the correct segments using the spectral clustering method developed by Ng et al. for images shown in Fig. 1A and Fig. 1B, respectively. The MSE in estimating average FLTs of the correct segments for the image shown in Fig. 1A using the spectral clustering method does not consistently decrease with increasing resolution. For Fig. 1B, the MSE shows a decrease in increasing the resolution by decreasing α up to 0.0625. Decreasing α below 0.0625 increases the MSE to be very high, and thus, such MSEs are not depicted here for clarity.","The MSE in estimating average FLTs of the correct segments using the MCD method consistently decreases with increasing resolution; see Fig. 5. The MCD method offers lower MSE than the spectral clustering method in its all network resolution for the FLIM image shown in Fig. 1A, and in its high network resolution region (γ > 10) for the FLIM image shown in Fig. 1B; see Figs. 5-6. The MSE in estimating average FLTs of the correct segments using the spectral clustering method does not consistently decrease with increasing resolution for the FLIM image shown in Fig. 1A. For Fig. 1B, the MSE in estimating average FLTs of the correct segments using the spectral clustering method shows a decrease in increasing the resolution by decreasing α up to 0.0625. Decreasing α below this value introduces noisy segments in the output, and the MSE in estimating average FLTs of the correct segments becomes very high. Consequently, such MSEs at limiting resolutions are not shown in Fig. 6B for clarity. In summary, the proposed MCD method outperforms the spectral clustering method in MSE sense in automatically segmenting the FLIM images shown in Fig. 1.","Automatic Segmentation of Fluorescence Lifetime Microscopy Images of
  Cells Using Multi-Resolution Community Detection","We have developed an automatic method for segmenting fluorescence lifetime
(FLT) imaging microscopy (FLIM) images of cells inspired by a multi-resolution
community detection (MCD) based network segmentation method. The image
processing problem is framed as identifying segments with respective average
FLTs against a background in FLIM images. The proposed method segments a FLIM
image for a given resolution of the network composed using image pixels as the
nodes and similarity between the pixels as the edges. In the resulting
segmentation, low network resolution leads to larger segments and high network
resolution leads to smaller segments. Further, the mean-square error (MSE) in
estimating the FLT segments in a FLIM image using the proposed method was found
to be consistently decreasing with increasing resolution of the corresponding
network. The proposed MCD method outperformed a popular spectral clustering
based method in performing FLIM image segmentation. The spectral segmentation
method introduced noisy segments in its output at high resolution. It was
unable to offer a consistent decrease in MSE with increasing resolution."
scgqa_82,1908.05243v1,What does Fig. 6 indicate about the density of interfering DBSs near the serving DBS for UDM with RW and RWP?,"The graph shows that the density of the network of interfering DBSs for the UDM with the RW and RWP mobility models is relatively high in the vicinity of the serving DBS, and decreases as the distance from the serving DBS increases. This is because the RW and RWP mobility models both assume that the DBSs move randomly, and so the probability of finding a DBS in a particular location is higher near the serving DBS, where the DBSs are more likely to be located.",1908.05243v1.pdf,"['1908.05243v1.pdf', '1808.09050v2.pdf', '1706.03019v1.pdf', '1405.5329v4.pdf', '1708.07888v3.pdf', '1007.0328v1.pdf', '1901.10423v1.pdf']",1908.05243v1-Figure6-1.png,Fig. 6. Density of the network of interfering DBSs for the UDM with the RW and RWP mobility models. Serving distance is u0 = 500 m and the flights are Rayleigh distributed with mean 500 m.,"In Figs. 5 and 6, we plot the density of the network of interfering DBSs for all the mobility models considered in this paper at t ∈ {20, 40, 50, 200} s. We assume that the serving DBS follows the UDM and the exclusion zone radius is u0 = 500 m. In the SL mobility model, as also highlighted in Remark 4, the density will be divided into two homogeneous parts and one bowl-shaped inhomogeneous part after t = u0 v . Furthermore, the inhomogeneous part will become homogeneous as t→∞, which ultimately makes the point process of interferers homogeneous. This fact can also be directly inferred from Corollary 1 by taking the limit of (6) as t → ∞ and ux → vt. According to Fig. 6, this homogenization happens for the RW and RWP mobility","Performance Characterization of Canonical Mobility Models in Drone
  Cellular Networks","In this paper, we characterize the performance of several canonical mobility
models in a drone cellular network in which drone base stations (DBSs) serve
user equipments (UEs) on the ground. In particular, we consider the following
four mobility models: (i) straight line (SL), (ii) random stop (RS), (iii)
random walk (RW), and (iv) random waypoint (RWP), among which the SL mobility
model is inspired by the simulation models used by the third generation
partnership project (3GPP) for the placement and trajectory of drones, while
the other three are well-known canonical models (or their variants) that offer
a useful balance between realism and tractability. Assuming the
nearest-neighbor association policy, we consider two service models for the
UEs: (i) UE independent model (UIM), and (ii) UE dependent model (UDM). While
the serving DBS follows the same mobility model as the other DBSs in the UIM,
it is assumed to fly towards the UE of interest in the UDM and hover above its
location after reaching there. The main contribution of this paper is a unified
approach to characterize the point process of DBSs for all the mobility and
service models. Using this, we provide exact mathematical expressions for the
average received rate and the session rate as seen by the typical UE. Further,
using tools from calculus of variations, we concretely demonstrate that the
simple SL mobility model provides a lower bound on the performance of other
general mobility models (including the ones in which drones follow curved
trajectories) as long as the movement of each drone in these models is
independent and identically distributed (i.i.d.). To the best of our knowledge,
this is the first work that provides a rigorous analysis of key canonical
mobility models for an infinite drone cellular network and establishes useful
connections between them."
scgqa_83,2003.14319v2,"In the context of Figure 5, how do the estimators ∆1(s) and ∆ pr 1 (s) behave relative to true error?","The graph shows that the RCLtree method is able to accurately estimate the true error, with both ∆1(s) and ∆ pr 1 (s) closely following the true error curve. This is consistent with the results in Table 8, which showed that the RCLtree method had the lowest RMSE and MAE values.",2003.14319v2.pdf,"['2003.14319v2.pdf', '1712.02030v2.pdf', '1801.09097v2.pdf', '1006.3688v1.pdf', '1909.03961v2.pdf', '1804.06674v1.pdf', '1809.07412v2.pdf', '1910.05107v2.pdf']",2003.14319v2-Figure5-1.png,Figure 5: RCLtree: ∆1(s) and ∆ pr 1 (s) vs. the respective true errors at 900 frequency samples.,"Figures 5-7 further show the behaviors of the error estimators over the sample set Ξver including 900 samples, which are in agreement with the above analysis for the data in Table 8.","On Error Estimation for Reduced-order Modeling of Linear Non-parametric
  and Parametric Systems","Motivated by a recently proposed error estimator for the transfer function of
the reduced-order model of a given linear dynamical system, we further develop
more theoretical results in this work. Furthermore, we propose several variants
of the error estimator, and compare those variants with the existing ones both
theoretically and numerically. It has been shown that some of the proposed
error estimators perform better than or equally well as the existing ones. All
the error estimators considered can be easily extended to estimate output error
of reduced-order modeling for steady linear parametric systems."
scgqa_84,1208.2451v1,What insights does the experiment in Figure 5 provide about CALU PRRP's performance with different matrix types?,"The graph's findings suggest that CALU PRRP is a good choice for use with random matrices, but may not be as stable for special matrices. This is important to keep in mind when choosing an algorithm for LU factorization.",1208.2451v1.pdf,"['1208.2451v1.pdf', '2008.07011v1.pdf', '1811.01194v1.pdf', '2007.06852v1.pdf', '2011.09375v1.pdf', '1803.03080v1.pdf']",1208.2451v1-Figure5-1.png,"Figure 5: A summary of all our experimental data, showing the ratio of max(CALU PRRP’s backward error, machine epsilon) to max(GEPP’s backward error, machine epsilon) for all the test matrices in our set. Each vertical bar represents such a ratio for one test matrix. Bars above 100 = 1 mean that CALU PRRP’s backward error is larger, and bars below 1 mean that GEPP’s backward error is larger. For each matrix and algorithm, the backward error is measured using three different metrics. For the last third of the bars, labeled “componentwise backward error”, the metric is w in equation (8). The test matrices are further labeled either as “randn”, which are randomly generated, or “special”, listed in Table 15. Finally, each test matrix is factored using CALU PRRP with a binary reduction tree (labeled BCALU for BCALU PRRP) and with a flat reduction tree (labeled FCALU for FCALU PRRP).","As for the LU PRRP factorization, we discuss the stability of CALU PRRP using three metrics. For the matrices in our set, the relative error is at most 9.14 × 10−14, the normwise backward error is at most 1.37 × 10−14, and the componentwise backward error is at most 1.14×10−8 for Demmel matrix. Figure 5 displays the ratios of the errors with respect to those of GEPP, obtained by dividing the maximum of the backward errors of CALU PRRP and the machine epsilon by the maximum of those of GEPP and the machine epsilon. For random matrices, all the backward error ratios are at most 2.4. For the set of special matrices, the ratios of the relative error are at most 1 in over 62% of cases, and always smaller than 2, except for 8% of cases, where the ratios are between 2.4","LU factorization with panel rank revealing pivoting and its
  communication avoiding version","We present the LU decomposition with panel rank revealing pivoting (LU_PRRP),
an LU factorization algorithm based on strong rank revealing QR panel
factorization. LU_PRRP is more stable than Gaussian elimination with partial
pivoting (GEPP). Our extensive numerical experiments show that the new
factorization scheme is as numerically stable as GEPP in practice, but it is
more resistant to pathological cases and easily solves the Wilkinson matrix and
the Foster matrix. We also present CALU_PRRP, a communication avoiding version
of LU_PRRP that minimizes communication. CALU_PRRP is based on tournament
pivoting, with the selection of the pivots at each step of the tournament being
performed via strong rank revealing QR factorization. CALU_PRRP is more stable
than CALU, the communication avoiding version of GEPP. CALU_PRRP is also more
stable in practice and is resistant to pathological cases on which GEPP and
CALU fail."
scgqa_85,1910.08413v1,How are the combinations of distributions distinguished in the five evaluation scenarios of the paper?,What is the difference between the five scenarios?,1910.08413v1.pdf,"['1910.08413v1.pdf', '1710.07771v1.pdf', '1808.08442v1.pdf', '1209.3394v5.pdf', '1603.04812v2.pdf', '1409.3924v1.pdf', '1604.04026v1.pdf']",1910.08413v1-Figure3-1.png,Figure 3: Left: Five scenarios of two random variables with different distributions introduced for evaluating different comparison operators. Right: The absolute error of comparison operators for each scenario and for different numbers N of samples. The comparison operators in the legend are ranked according to their absolute error bound with the maximal number of samples N = 106.,"In the following, we evaluate the investigated comparison operators in terms of approximation error and execution time. For the evaluation, five scenarios of two random variables (X1, X2) with different distributions are selected, see the left column of Figure 3. These scenarios combine instances of various distributions including uniform U(X,X), Gaussian N (E [X ],Var [X ]) and beta B(α, β) distributions. The first four scenarios are adopted from [10]. These scenarios vary in their statistical properties and pose different challenges to the comparison operators.","Efficient Computation of Probabilistic Dominance in Robust
  Multi-Objective Optimization","Real-world problems typically require the simultaneous optimization of
several, often conflicting objectives. Many of these multi-objective
optimization problems are characterized by wide ranges of uncertainties in
their decision variables or objective functions, which further increases the
complexity of optimization. To cope with such uncertainties, robust
optimization is widely studied aiming to distinguish candidate solutions with
uncertain objectives specified by confidence intervals, probability
distributions or sampled data. However, existing techniques mostly either fail
to consider the actual distributions or assume uncertainty as instances of
uniform or Gaussian distributions. This paper introduces an empirical approach
that enables an efficient comparison of candidate solutions with uncertain
objectives that can follow arbitrary distributions. Given two candidate
solutions under comparison, this operator calculates the probability that one
solution dominates the other in terms of each uncertain objective. It can
substitute for the standard comparison operator of existing optimization
techniques such as evolutionary algorithms to enable discovering robust
solutions to problems with multiple uncertain objectives. This paper also
proposes to incorporate various uncertainties in well-known multi-objective
problems to provide a benchmark for evaluating uncertainty-aware optimization
techniques. The proposed comparison operator and benchmark suite are integrated
into an existing optimization tool that features a selection of multi-objective
optimization problems and algorithms. Experiments show that in comparison with
existing techniques, the proposed approach achieves higher optimization quality
at lower overheads."
scgqa_86,1402.0808v1,"In the context of Fig. 6, describe the relationship between deletion rate and MER for the architectures presented.","The graph shows that the deletion rate has a significant impact on the MER for all three architectures. With the exception of Architecture I, which has higher MERs than the others at zero deletion rate, the other two architectures have similar error rates. Architecture II and III have similar error rates up to deletion rates around 0.3, from where Architecture II performs better at higher MERs than Architecture III afterwards.",1402.0808v1.pdf,"['1402.0808v1.pdf', '2001.07829v1.pdf', '1405.5329v4.pdf', '1402.7063v1.pdf', '1902.06156v1.pdf', '1207.5027v1.pdf', '1910.10700v1.pdf']",1402.0808v1-Figure6-1.png,"Fig. 6. Comparison of the MER for Architectures I, II, and III as the deletion rate is increased for both binary-weighted and Multiple-valued connections (it=1).","Fig. 6 and Fig. 7 show a comparison of the effect of the deletion rate on the MER for the three architectures after one and four iterations respectively. With the exception of Architecture I that has higher MERs than the others at zero deletion rate, the other two architectures have similar error rates. Architecture II and III have similar error rates up to deletion rates around 0.3 from where Architecture II performs better at higher MERs than Architecture III afterwards.",Associative Memories Based on Multiple-Valued Sparse Clustered Networks,"Associative memories are structures that store data patterns and retrieve
them given partial inputs. Sparse Clustered Networks (SCNs) are
recently-introduced binary-weighted associative memories that significantly
improve the storage and retrieval capabilities over the prior state-of-the art.
However, deleting or updating the data patterns result in a significant
increase in the data retrieval error probability. In this paper, we propose an
algorithm to address this problem by incorporating multiple-valued weights for
the interconnections used in the network. The proposed algorithm lowers the
error rate by an order of magnitude for our sample network with 60% deleted
contents. We then investigate the advantages of the proposed algorithm for
hardware implementations."
scgqa_87,2010.13691v1,How does the k-shell index distribution of train-net accounts reflect their network structure in the paper?,"The graph shows that the distribution of k-shell indexes for accounts in the train-net network is significantly different from the baseline. This is because the train-net network has a more heterogeneous structure, with a densely connected core and many peripheral nodes. This results in a higher concentration of nodes with high k-shell indexes, as shown in the graph.",2010.13691v1.pdf,"['2010.13691v1.pdf', '1902.05922v1.pdf', '1703.03892v5.pdf', '1708.09328v1.pdf', '1302.3123v1.pdf', '1510.01155v1.pdf', '1805.06370v2.pdf', '1804.04290v1.pdf']",2010.13691v1-Figure3-1.png,Figure 3: Complementary cumulative distribution of the 𝑘- shell indexes for accounts in the train-net network and tagging-net baseline. The categorization of conductors and riders in train-net reflects the account statuses during the data collection period. Mann-Whitney U tests show that the distributions are significantly different (𝑝 < 0.01) with large effect sizes.,"Comparing the two mention networks in Figure 2, we find that each community in the train-net network has a densely connected core and many peripheral nodes, while the tagging-net network displays a more homogeneous structure. To confirm our observation, we calculate the 𝑘-shell index [26], which measures node centrality and influence, of the nodes in both networks and plot the distributions in Figure 3. For the tagging-net baseline","The Manufacture of Partisan Echo Chambers by Follow Train Abuse on
  Twitter","A growing body of evidence points to critical vulnerabilities of social
media, such as the emergence of partisan echo chambers and the viral spread of
misinformation. We show that these vulnerabilities are amplified by abusive
behaviors associated with so-called ""follow trains"" on Twitter, in which long
lists of like-minded accounts are mentioned for others to follow. We present
the first systematic analysis of a large U.S. hyper-partisan train network. We
observe an artificial inflation of influence: accounts heavily promoted by
follow trains profit from a median six-fold increase in daily follower growth.
This catalyzes the formation of highly clustered echo chambers, hierarchically
organized around a dense core of active accounts. Train accounts also engage in
other behaviors that violate platform policies: we find evidence of activity by
inauthentic automated accounts and abnormal content deletion, as well as
amplification of toxic content from low-credibility and conspiratorial sources.
Some train accounts have been active for years, suggesting that platforms need
to pay greater attention to this kind of abuse."
